purpose,交通设施,休闲娱乐,公司企业,医疗保健,商务住宅,旅游景点,汽车相关,生活服务,科教文化,购物消费,运动健身,酒店住宿,金融机构,餐饮美食
上学,0.089,0.045,0.056,0.079,0.097,0.069,0.057,0.08,0.079,0.067,0.073,0.059,0.076,0.075
大学上课,0.084,0.039,0.049,0.06,0.106,0.076,0.038,0.065,0.167,0.047,0.09,0.043,0.074,0.062
教育培训,0.089,0.045,0.059,0.077,0.099,0.064,0.058,0.076,0.088,0.062,0.074,0.057,0.078,0.073
购物,0.086,0.046,0.061,0.075,0.094,0.063,0.062,0.08,0.074,0.076,0.071,0.059,0.071,0.079
生活服务,0.087,0.044,0.062,0.075,0.094,0.064,0.078,0.08,0.072,0.067,0.072,0.058,0.073,0.074
休闲娱乐,0.09,0.047,0.059,0.076,0.096,0.065,0.058,0.078,0.076,0.065,0.074,0.064,0.078,0.075
美食,0.086,0.047,0.06,0.076,0.095,0.063,0.061,0.079,0.077,0.069,0.074,0.06,0.074,0.079
商务,0.089,0.045,0.069,0.074,0.1,0.061,0.061,0.077,0.078,0.065,0.074,0.057,0.076,0.075
工作,0.088,0.045,0.061,0.078,0.099,0.064,0.061,0.078,0.08,0.067,0.073,0.056,0.075,0.075
回家,0.088,0.045,0.06,0.078,0.099,0.066,0.061,0.078,0.079,0.067,0.074,0.056,0.074,0.075
医疗,0.09,0.045,0.056,0.085,0.098,0.069,0.057,0.078,0.076,0.065,0.072,0.059,0.074,0.074
探亲访友,0.09,0.045,0.058,0.08,0.101,0.061,0.058,0.08,0.077,0.066,0.073,0.061,0.075,0.074
同城出行,0.091,0.043,0.064,0.074,0.096,0.066,0.081,0.079,0.071,0.066,0.067,0.059,0.068,0.073
跨城出行,0.096,0.044,0.062,0.073,0.096,0.064,0.06,0.078,0.077,0.064,0.073,0.06,0.079,0.074
旅游,0.089,0.047,0.053,0.073,0.094,0.106,0.05,0.074,0.076,0.059,0.076,0.059,0.074,0.069
